#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620145540, 0.0, 2.95, 1.411, 7, 8, -58, 0, b0:e4:d5:1a:85:5d
620146053, 0.0, 2.755, 1.396, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620146570, 0.0, 3.927, 1.036, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
620147081, 0.0, 5.382, 0.154, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620147580, 0.0, 4.2, 0.814, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620148076, 0.0, 2.872, 1.291, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620148600, 0.0, 2.755, 1.344, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
620149106, 0.0, 2.872, 1.305, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620149617, 0.0, 2.794, 1.334, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620150123, 0.0, 3.028, 1.242, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620150633, 0.0, 2.872, 1.339, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620151141, 0.0, 2.911, 1.309, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620151647, 0.0, 2.911, 1.276, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620152156, 0.0, 2.95, 1.24, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620152672, 0.0, 3.028, 1.204, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620153175, 0.0, 2.833, 1.367, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
620153687, 0.0, 3.028, 1.232, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620154193, 0.0, 3.028, 1.214, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620154703, 0.0, 2.911, 1.324, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620155212, 0.0, 2.911, 1.309, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620155729, 0.0, 2.911, 1.343, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620156233, 0.0, 2.95, 1.292, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620156746, 0.0, 2.911, 1.249, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620157257, 0.0, 2.989, 1.254, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620157755, 0.0, 2.872, 1.302, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620158263, 0.0, 2.95, 1.248, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620158778, 0.0, 2.989, 1.19, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620159282, 0.0, 2.833, 1.336, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620159796, 0.0, 2.833, 1.357, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620160308, 0.0, 2.872, 1.313, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620160820, 0.0, 2.872, 1.357, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620161330, 0.0, 2.95, 1.314, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620161827, 0.0, 2.794, 1.397, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620162355, 0.0, 3.107, 1.188, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620162864, 0.0, 2.95, 1.252, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620163378, 0.0, 2.872, 1.366, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620163892, 0.0, 2.716, 1.442, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620164402, 0.0, 2.794, 1.401, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620164915, 0.0, 2.95, 1.269, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620165422, 0.0, 2.95, 1.268, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620165935, 0.0, 2.833, 1.367, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620166441, 0.0, 2.95, 1.283, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620166950, 0.0, 2.833, 1.37, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620167459, 0.0, 2.911, 1.278, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620167973, 0.0, 2.794, 1.413, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620168483, 0.0, 2.833, 1.285, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620168995, 0.0, 2.911, 1.294, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620169507, 0.0, 2.833, 1.339, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620170019, 0.0, 2.911, 1.324, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620170532, 0.0, 2.872, 1.344, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620171033, 0.0, 2.989, 1.246, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620171555, 0.0, 2.872, 1.344, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620172067, 0.0, 2.794, 1.334, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620172567, 0.0, 2.872, 1.328, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620173079, 0.0, 2.911, 1.308, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620173587, 0.0, 2.794, 1.337, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620174099, 0.0, 2.911, 1.306, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620174609, 0.0, 2.872, 1.323, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620175121, 0.0, 2.911, 1.343, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620175632, 0.0, 2.872, 1.332, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620176144, 0.0, 2.911, 1.305, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620176655, 0.0, 2.638, 1.422, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620177166, 0.0, 2.95, 1.295, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620177677, 0.0, 2.911, 1.289, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620178187, 0.0, 2.833, 1.322, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620178698, 0.0, 2.794, 1.332, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620179209, 0.0, 2.872, 1.295, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620179718, 0.0, 2.95, 1.26, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620180224, 0.0, 2.794, 1.396, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620180737, 0.0, 2.95, 1.252, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620181249, 0.0, 2.989, 1.313, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620181763, 0.0, 2.872, 1.373, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620182271, 0.0, 2.95, 1.288, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620182782, 0.0, 2.95, 1.251, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620183295, 0.0, 2.677, 1.452, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620183807, 0.0, 2.911, 1.289, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620184317, 0.0, 2.755, 1.416, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620184828, 0.0, 2.95, 1.292, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620185342, 0.0, 3.028, 1.257, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620185852, 0.0, 2.833, 1.314, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620186367, 0.0, 2.989, 1.249, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620186875, 0.0, 2.95, 1.277, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620187387, 0.0, 2.872, 1.3, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620187896, 0.0, 2.716, 1.436, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620188410, 0.0, 2.833, 1.369, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620188920, 0.0, 2.833, 1.3, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620189431, 0.0, 2.716, 1.376, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620189942, 0.0, 3.028, 1.199, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620190455, 0.0, 2.95, 1.266, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620190965, 0.0, 2.755, 1.347, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620191477, 0.0, 2.911, 1.318, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620191988, 0.0, 2.677, 1.382, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620192499, 0.0, 2.833, 1.345, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620193011, 0.0, 2.794, 1.385, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620193521, 0.0, 2.911, 1.331, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620194030, 0.0, 2.911, 1.294, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620194542, 0.0, 2.716, 1.397, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620195053, 0.0, 2.911, 1.328, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620195565, 0.0, 2.755, 1.405, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620196076, 0.0, 2.794, 1.417, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620196585, 0.0, 2.716, 1.362, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620197097, 0.0, 2.794, 1.332, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620197609, 0.0, 2.677, 1.396, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620198125, 0.0, 2.716, 1.408, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620198634, 0.0, 2.872, 1.214, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620199145, 0.0, 2.95, 1.278, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620199646, 0.0, 2.833, 1.363, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620200167, 0.0, 2.911, 1.289, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620200679, 0.0, 2.833, 1.327, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620201197, 0.0, 2.794, 1.304, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620201703, 0.0, 2.794, 1.372, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620202215, 0.0, 2.95, 1.294, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620202726, 0.0, 2.911, 1.298, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620203236, 0.0, 2.872, 1.279, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620203747, 0.0, 2.872, 1.334, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620204256, 0.0, 2.794, 1.347, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620204771, 0.0, 2.989, 1.219, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620205281, 0.0, 2.755, 1.33, 7, 8, -59, 0, b0:e4:d5:1a:85:5d